case:concept:name,prefix,k,label,base_case_id,LPMs_binary,LPMs_frequency,LPMs_list
Case100_18,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling-q.c. laser-marking---machine-7 laser-marking---machine-7 flat-grinding---machine-11 flat-grinding---machine-11 lapping---machine-1 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3,18,regular,Case100,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case100_19,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling-q.c. laser-marking---machine-7 laser-marking---machine-7 flat-grinding---machine-11 flat-grinding---machine-11 lapping---machine-1 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3,19,regular,Case100,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case100_20,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling-q.c. laser-marking---machine-7 laser-marking---machine-7 flat-grinding---machine-11 flat-grinding---machine-11 lapping---machine-1 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3,20,regular,Case100,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case100_21,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling-q.c. laser-marking---machine-7 laser-marking---machine-7 flat-grinding---machine-11 flat-grinding---machine-11 lapping---machine-1 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 other,21,regular,Case100,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case100_22,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling-q.c. laser-marking---machine-7 laser-marking---machine-7 flat-grinding---machine-11 flat-grinding---machine-11 lapping---machine-1 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 other other,22,regular,Case100,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case100_23,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling-q.c. laser-marking---machine-7 laser-marking---machine-7 flat-grinding---machine-11 flat-grinding---machine-11 lapping---machine-1 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 other other final-inspection-q.c.,23,regular,Case100,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case100_24,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling-q.c. laser-marking---machine-7 laser-marking---machine-7 flat-grinding---machine-11 flat-grinding---machine-11 lapping---machine-1 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 other other final-inspection-q.c. final-inspection-q.c.,24,regular,Case100,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case100_25,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling-q.c. laser-marking---machine-7 laser-marking---machine-7 flat-grinding---machine-11 flat-grinding---machine-11 lapping---machine-1 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 other other final-inspection-q.c. final-inspection-q.c. packing,25,regular,Case100,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case100_26,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling-q.c. laser-marking---machine-7 laser-marking---machine-7 flat-grinding---machine-11 flat-grinding---machine-11 lapping---machine-1 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 other other final-inspection-q.c. final-inspection-q.c. packing packing,26,regular,Case100,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case100_27,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling-q.c. laser-marking---machine-7 laser-marking---machine-7 flat-grinding---machine-11 flat-grinding---machine-11 lapping---machine-1 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 other other final-inspection-q.c. final-inspection-q.c. packing packing final-inspection-q.c.,27,regular,Case100,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case100_28,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling-q.c. laser-marking---machine-7 laser-marking---machine-7 flat-grinding---machine-11 flat-grinding---machine-11 lapping---machine-1 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 other other final-inspection-q.c. final-inspection-q.c. packing packing final-inspection-q.c. final-inspection-q.c.,28,regular,Case100,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case100_3,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8,3,regular,Case100,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ]"
Case100_4,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8,4,regular,Case100,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ]"
Case100_5,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8,5,regular,Case100,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ]"
Case100_6,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8,6,regular,Case100,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
